freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	|Ewe|/V	|I|/A	Ns	I Range	(Q-Qo)/mA.h	<Ece>/V	|Ece|/V	Phase(Zce)/deg	|Zce|/Ohm	Re(Zce)/Ohm	-Im(Zce)/Ohm	Phase(Zwe-ce)/deg	|Zwe-ce|/Ohm	Re(Zwe-ce)/Ohm	-Im(Zwe-ce)/Ohm	P/W	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	dq/mA.h	
2.0227139E+004	4.2993879E+000	-2.9676528E+000	5.2241459E+000	3.4615383E+001	6.346535403775680E+004	1.3571461E+001	1.8295166E-005	-2.6513839E+000	-8.5559487E-001	1.000000000000000E+000	2.4607691E-005	4.7103758E-006	0	14	2.186334074762423E-008	1.3447601E+001	1.7488698E-003	-5.7623459E+001	3.7128030E+002	1.9881357E+002	3.1356375E+002	-5.6817497E+001	3.7111295E+002	2.0311296E+002	3.1059610E+002	0.0000000E+000	1.5753463E-001	-1.0873830E-001	1.9141886E-001	-3.4615383E+001	-1.071486428069573E-010
1.3695073E+004	1.7695291E+000	-8.0744284E-001	1.9450443E+000	2.4527393E+001	6.346573903777613E+004	1.3571452E+001	1.6668402E-005	-1.4392757E+001	-2.4803250E+000	1.000000000000000E+000	9.1687225E-006	4.7138888E-006	0	14	2.505052021662222E-008	1.3447160E+001	2.2407828E-003	-5.5380375E+001	4.7535760E+002	2.7006284E+002	3.9119165E+002	-5.5149731E+001	4.7570230E+002	2.7183237E+002	3.9038422E+002	0.0000000E+000	4.6773380E-001	-2.1342871E-001	5.1412714E-001	-2.4527393E+001	3.187179468997985E-009
9.2692256E+003	8.7819606E-001	-2.0824621E+000	2.2600613E+000	6.7134338E+001	6.346612403779547E+004	1.3571463E+001	1.4225077E-005	-8.2451696E+000	-7.0002470E+000	1.000000000000000E+000	1.0740276E-005	4.7522053E-006	0	14	2.744549023018155E-008	1.3445396E+001	2.8811859E-003	-5.3001106E+001	6.0628394E+002	3.6486142E+002	4.8420694E+002	-5.2816048E+001	6.0515247E+002	3.6573962E+002	4.8212448E+002	0.0000000E+000	1.7192976E-001	-4.0769622E-001	4.4246587E-001	-6.7134338E+001	2.394970013559333E-009
6.2722681E+003	-2.1710622E+000	-2.4530408E+000	3.2758083E+000	1.3151042E+002	6.346650903781492E+004	1.3571667E+001	1.7425980E-005	-1.0344053E+001	-5.8004718E+000	1.000000000000000E+000	1.5740055E-005	4.8049378E-006	0	14	2.725806562364141E-008	1.3447721E+001	3.6531852E-003	-5.0225998E+001	7.6029810E+002	4.8640909E+002	5.8434528E+002	-5.0233509E+001	7.5702380E+002	4.8423804E+002	5.8189221E+002	0.0000000E+000	-2.0231839E-001	-2.2859554E-001	3.0526817E-001	-1.3151042E+002	-1.874246065401366E-010
4.2448467E+003	3.4320015E-001	-2.1117961E+000	2.1395020E+000	8.0769234E+001	6.346693503783632E+004	1.3571610E+001	1.1014469E-005	-1.7754406E+001	-1.7297554E+001	1.000000000000000E+000	1.0414155E-005	4.8675597E-006	0	14	3.622197464297491E-008	1.3445677E+001	4.5924336E-003	-4.7573589E+001	9.4347760E+002	6.3651031E+002	6.9642273E+002	-4.7471539E+001	9.4215179E+002	6.3685352E+002	6.9431091E+002	0.0000000E+000	7.4975960E-002	-4.6134579E-001	4.6739846E-001	-8.0769234E+001	8.963909019333491E-009
2.8779956E+003	1.5689744E+000	-1.7484627E+000	2.3492131E+000	4.8096943E+001	6.346733603785653E+004	1.3571536E+001	7.5694916E-006	-3.1628136E+001	-1.7520300E+001	1.000000000000000E+000	1.0799891E-005	4.5972379E-006	0	14	3.484197133122456E-008	1.3447000E+001	5.3194393E-003	-4.4838024E+001	1.1570946E+003	8.2049921E+002	8.1587311E+002	-4.4721836E+001	1.1569767E+003	8.2206818E+002	8.1412463E+002	0.0000000E+000	2.8429615E-001	-3.1681922E-001	4.2567444E-001	-4.8096943E+001	-1.380003311750345E-009
1.9481171E+003	1.6321853E+000	-1.4092192E-001	1.6382576E+000	4.9346461E+000	6.346801203789050E+004	1.3571756E+001	7.2104790E-006	-5.7973102E+002	-4.2896242E+000	1.000000000000000E+000	8.0156451E-006	4.8927868E-006	0	14	2.854062965642849E-008	1.3447200E+001	6.8438333E-003	-4.1958054E+001	1.3987598E+003	1.0401660E+003	9.3519171E+002	-4.1909100E+001	1.3998798E+003	1.0417982E+003	9.3505078E+002	0.0000000E+000	6.0814214E-001	-5.2506629E-002	6.1040461E-001	-4.9346461E+000	-6.301341674796071E-009
1.3187339E+003	1.5269580E+000	4.5415988E+000	4.7914214E+000	-7.1416534E+001	6.346845803791285E+004	1.3571628E+001	5.9248141E-006	2.6573832E+001	2.3874977E+001	1.000000000000000E+000	2.3114808E-005	4.8242068E-006	0	14	2.776252355554081E-008	1.3453454E+001	8.0693364E-003	-3.8956879E+001	1.6726763E+003	1.3007054E+003	1.0516707E+003	-3.9044754E+001	1.6767211E+003	1.3022324E+003	1.0562123E+003	0.0000000E+000	6.6511743E-002	1.9782448E-001	2.0870633E-001	7.1416534E+001	-7.781061008876751E-010
8.9299957E+002	1.8646981E+000	3.8448765E+000	4.2731924E+000	-6.4127426E+001	6.346890303793526E+004	1.3571682E+001	6.0748425E-006	4.6353920E+001	3.7527218E+001	1.000000000000000E+000	2.0476515E-005	4.7918543E-006	0	14	2.506723590583230E-008	1.3438260E+001	9.4055301E-003	-3.5948944E+001	1.9628164E+003	1.5889792E+003	1.1522991E+003	-3.6007732E+001	1.9665842E+003	1.5908440E+003	1.1561439E+003	0.0000000E+000	1.0211830E-001	2.1056078E-001	2.3401707E-001	6.4127426E+001	-2.695287649708513E-009
6.0441974E+002	2.3694758E+000	-1.6293215E+000	2.8756051E+000	3.4513561E+001	6.346934803795768E+004	1.3571656E+001	6.5252939E-006	-1.6161241E+002	-5.1883564E+001	1.000000000000000E+000	1.3734757E-005	4.7763015E-006	0	14	2.782829654005228E-008	1.3453294E+001	1.0879525E-002	-3.2941658E+001	2.2778137E+003	1.9115975E+003	1.2386404E+003	-3.2874886E+001	2.2789177E+003	1.9139670E+003	1.2370111E+003	0.0000000E+000	2.8654563E-001	-1.9703723E-001	3.4775290E-001	-3.4513561E+001	2.761060634219979E-009
4.0908368E+002	7.2011089E-001	3.4601469E+000	3.5342858E+000	-7.8243660E+001	6.346979303798010E+004	1.3571655E+001	6.9955181E-006	1.1243808E+002	1.0777032E+002	1.000000000000000E+000	1.6850079E-005	4.7676053E-006	0	14	3.007777245934701E-008	1.3446479E+001	1.2405804E-002	-2.9967598E+001	2.6021040E+003	2.2542236E+003	1.2997775E+003	-3.0025629E+001	2.6044578E+003	2.2549438E+003	1.3032377E+003	0.0000000E+000	5.7649579E-002	2.7700728E-001	2.8294259E-001	7.8243660E+001	2.249475919294733E-009
2.7686047E+002	2.1332374E+000	2.4064438E+000	3.2158473E+000	-4.8444012E+001	6.347023403800221E+004	1.3571655E+001	7.0078327E-006	2.3888202E+002	1.3376549E+002	1.000000000000000E+000	1.5326797E-005	4.7660214E-006	0	14	3.325632391916618E-008	1.3440906E+001	1.4001537E-002	-2.7225714E+001	2.9377830E+003	2.6123093E+003	1.3440270E+003	-2.7248390E+001	2.9407810E+003	2.6144426E+003	1.3464335E+003	0.0000000E+000	2.0627585E-001	2.3269385E-001	3.1096005E-001	4.8444012E+001	3.178551459819172E-009
