0,0,49
1,50,99
2,100,149
3,150,199
4,200,249
5,250,299
6,300,349
7,350,399
8,400,449
9,450,499
10,500,549
11,550,599
12,600,649
13,650,699
14,700,749
15,750,799
16,800,849
17,850,899
18,900,949
19,950,999
20,1000,1049
21,1050,1099
22,1100,1149
23,1150,1199
24,1200,1249
25,1250,1299
26,1300,1349
27,1350,1399
28,1400,1449
29,1450,1499
30,1500,1549
31,1550,1599
32,1600,1649
33,1650,1699
34,1700,1749
35,1750,1799
36,1800,1849
37,1850,1899
38,1900,1949
39,1950,1999
40,2000,2049
41,2050,2099
42,2100,2149
43,2150,2199
44,2200,2249
45,2250,2299
46,2300,2349
47,2350,2399
48,2400,2449
49,2450,2499
