0,0,965
1,966,1969
2,1970,2961
3,2962,3895
4,3896,4799
5,4800,5673
6,5674,6534
7,6535,7381
8,7382,8222
9,8223,9048
10,9049,9873
11,9874,10708
12,10709,11537
13,11538,12365
14,12366,13191
15,13192,14006
16,14007,14837
17,14838,15657
18,15658,16480
19,16481,17304
20,17305,18156
21,18157,19086
22,19087,20041
23,20042,20993
24,20994,21940
25,21941,22892
26,22893,23853
27,23854,24814
28,24815,25768
29,25769,26714
30,26715,27669
31,27670,28627
32,28628,29588
33,29589,30554
34,30555,31527
35,31528,32522
36,32523,33517
37,33518,34511
38,34512,35502
39,35503,36498
40,36499,37502
41,37503,38512
42,38513,39520
43,39521,40527
44,40528,41529
45,41530,42531
46,42532,43527
47,43528,44520
48,44521,45510
49,45511,46500
